#01004 ENAS Ny-Alesund Ii Observations at 12Z 01 Aug 2020
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
   63.0  19538  -46.9  -85.9      0   0.00    230     16  498.5  498.5  498.5
   62.0  19644  -47.0  -86.0      0   0.00    235     10  500.6  500.6  500.6
   60.7  19785  -47.1  -86.1      0   0.00    200     10  503.3  503.4  503.4
   57.0  20201  -46.8  -85.8      0   0.00     95     10  513.2  513.2  513.2
   50.0  21070  -46.1  -85.1      0   0.01    125      8  534.4  534.4  534.4
   48.0  21343  -45.7  -84.9      0   0.01    115      2  541.7  541.7  541.7
   43.1  22062  -44.5  -84.5      0   0.01    127      4  561.5  561.5  561.5
   42.0  22235  -44.6  -84.6      0   0.01    130      4  565.3  565.3  565.3
   40.0  22560  -44.9  -84.7      0   0.01    125     10  572.5  572.6  572.5
   39.0  22729  -45.1  -84.8      0   0.01    145     14  576.3  576.4  576.3
   38.0  22903  -45.2  -84.9      0   0.01    195     14  580.2  580.3  580.2
   34.0  23645  -45.9  -85.2      0   0.01    170     10  597.3  597.3  597.3
   33.0  23844  -46.0  -85.3      0   0.01    255      2  601.9  602.0  601.9
   30.4  24392  -46.5  -85.5      0   0.01    126      5  614.9  615.0  614.9
   30.0  24480  -46.3  -85.3      0   0.01    105      6  617.8  617.9  617.8
   21.6  26680  -41.5  -82.5      0   0.02    150      9  693.0  693.2  693.0
   20.0  27200  -42.1  -83.1      0   0.02    160     10  706.5  706.7  706.5
   17.2  28215  -44.1  -84.1      0   0.02    290      3  731.2  731.5  731.3
   17.0  28295  -43.8  -83.9      0   0.02    300      2  734.6  734.9  734.6
   16.0  28709  -42.3  -82.9      0   0.03     95     10  752.4  752.7  752.4
   14.0  29620  -38.9  -80.8      0   0.04     80     10  793.0  793.5  793.0
   13.0  30126  -37.1  -79.6      0   0.05    110     19  816.4  817.1  816.4
   12.3  30504  -35.7  -78.7      0   0.07     89     13  834.3  835.1  834.3
   12.0  30675  -35.8  -78.8      0   0.07     80     10  839.9  840.7  839.9
   11.0  31279  -36.1  -79.1      0   0.07    130      4  859.8  860.7  859.8
   10.0  31940  -36.5  -79.5      0   0.07    220     19  882.1  883.1  882.2
    9.9  32010  -36.7  -78.7      1   0.08    208     19  883.9  885.0  884.0
    9.0  32680  -34.2  -77.1      1   0.12     95     10  917.9  919.5  918.0
    8.0  33510  -31.1  -75.2      1   0.18     75      2  961.6  964.1  961.8
    7.3  34154  -28.7  -73.7      0   0.24     85      7  996.9 1000.5  997.1
