#10410 EDZE Essen Observations at 00Z 01 Aug 2020
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
   50.0  21050  -54.9  -85.9      1   0.00    135      8  513.7  513.7  513.7
   45.0  21725  -54.5  -85.5      1   0.01     35     10  530.3  530.4  530.3
   43.0  22016  -54.3  -85.3      1   0.01     80     17  537.7  537.8  537.7
   42.0  22167  -54.2  -85.2      1   0.01     75     14  541.5  541.6  541.6
   41.0  22321  -54.1  -85.1      1   0.01     50     10  545.5  545.6  545.5
   40.6  22384  -54.1  -85.1      1   0.01     56     11  547.1  547.2  547.1
   40.0  22481  -53.8  -85.0      1   0.01     65     14  550.2  550.2  550.2
   39.0  22645  -53.4  -84.8      1   0.01     40     16  555.4  555.4  555.4
   38.0  22814  -52.9  -84.5      1   0.01     45     19  560.7  560.8  560.7
   37.0  22987  -52.4  -84.3      1   0.01     95     10  566.3  566.4  566.3
   36.0  23165  -51.9  -84.1      1   0.01     80      8  572.0  572.1  572.0
   35.0  23348  -51.4  -83.8      1   0.01     45     12  578.0  578.1  578.0
   33.0  23731  -50.3  -83.3      1   0.01     75     14  590.7  590.8  590.7
   32.0  23931  -49.7  -83.0      1   0.01     65     17  597.4  597.5  597.4
   31.0  24137  -49.1  -82.8      1   0.01     85     25  604.5  604.6  604.5
   30.0  24350  -48.5  -82.5      1   0.01     85     21  611.8  612.0  611.8
   27.0  25043  -47.6  -82.3      1   0.02    130     16  633.1  633.3  633.1
   26.2  25241  -47.3  -82.3      1   0.02    138     16  639.3  639.5  639.4
   26.0  25292  -47.4  -82.3      1   0.02    140     16  640.5  640.7  640.5
   25.0  25550  -47.7  -82.4      1   0.02    175     12  646.7  646.9  646.7
   23.0  26099  -48.5  -82.5      1   0.02      0      0  660.1  660.3  660.1
   22.0  26392  -47.9  -82.5      1   0.02     40     10  670.4  670.6  670.4
   20.0  27020  -46.5  -82.5      1   0.02     65     12  693.1  693.3  693.1
   18.0  27734  -45.1  -81.9      1   0.03     70     21  718.7  719.0  718.7
   16.0  28533  -43.5  -81.2      1   0.03     80     27  748.4  748.7  748.4
   15.0  28971  -42.7  -80.8      1   0.04     85     21  765.1  765.6  765.1
   14.0  29438  -41.8  -80.3      1   0.05    105     19  783.5  784.0  783.5
   13.0  29941  -40.8  -79.9      1   0.05     85     12  803.6  804.2  803.6
   12.0  30484  -39.7  -79.4      1   0.06     65     14  826.0  826.7  826.0
   11.0  31074  -38.6  -78.9      1   0.07    100     25  851.0  851.9  851.0
   10.0  31720  -37.3  -78.3      1   0.09    115      8  879.1  880.3  879.2
    9.0  32453  -36.0  -77.8      1   0.11     75     27  910.8  912.2  910.9
    8.0  33272  -34.7  -77.2      1   0.13     80     29  947.5  949.3  947.6
    7.5  33721  -33.9  -76.9      1   0.15     87     24  968.2  970.3  968.3
    7.3  33910  -34.1  -77.1      0   0.14     90     22  974.9  977.0  975.0
