#48698 WSSS Singapore Observations at 12Z 01 Aug 2020
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
  161.0  13842  -63.7  -68.7     50   0.02     38     41  352.9  353.1  352.9
  156.0  14033  -65.3  -70.2     51   0.02     40     40  353.4  353.5  353.4
  150.0  14270  -67.3  -72.0     51   0.02     40     46  354.0  354.0  354.0
  128.0  15198  -74.7  -80.8     39   0.00     45     57  357.1  357.1  357.1
  116.0  15774  -79.3  -86.2     32   0.00     50     86  358.7  358.8  358.7
  115.0  15825  -79.7  -86.7     31   0.00     55     89  358.9  358.9  358.9
  113.0  15924  -79.8  -87.0     30   0.00     60     90  360.6  360.6  360.6
  107.0  16233  -79.9  -87.9     26   0.00     78     68  366.0  366.0  366.0
  100.0  16620  -76.1  -87.1     16   0.00    100     41  380.4  380.5  380.4
   98.9  16684  -73.3  -85.3     15   0.00     99     42  387.1  387.1  387.1
   91.0  17166  -76.7  -86.9     19   0.00     95     52  389.7  389.7  389.7
   90.1  17224  -77.1  -87.1     19   0.00    102     48  390.0  390.0  390.0
   86.6  17454  -71.5  -87.5      8   0.00    130     33  405.7  405.7  405.7
   86.0  17495  -71.4  -87.6      7   0.00    135     30  406.7  406.7  406.7
   83.3  17683  -70.9  -87.9      7   0.00    142     23  411.4  411.4  411.4
   80.0  17920  -72.2  -88.3      7   0.00    150     13  413.4  413.4  413.4
   79.0  17994  -72.7  -88.4      8   0.00    155     13  414.1  414.1  414.1
   75.0  18298  -74.4  -88.9      9   0.00    115     18  416.6  416.6  416.6
   73.4  18424  -75.1  -89.1     10   0.00    107     16  417.7  417.7  417.7
   71.0  18617  -73.7  -89.8      7   0.00     95     12  424.7  424.7  424.7
   70.0  18700  -73.1  -90.1      6   0.00     80     14  427.7  427.7  427.7
   69.0  18785  -72.5  -89.5      6   0.00     80     15  430.6  430.6  430.6
   68.9  18793  -72.5  -89.5      6   0.00     80     15  430.9  430.9  430.9
   65.0  19134  -73.5  -90.1      6   0.00     80     29  435.9  436.0  435.9
   59.9  19613  -74.9  -90.9      7   0.00     59     42  443.1  443.1  443.1
   59.0  19702  -74.2  -91.0      6   0.00     55     44  446.7  446.7  446.7
   54.0  20225  -70.0  -91.5      3   0.00     70     51  467.8  467.8  467.8
   52.6  20380  -68.7  -91.7      2   0.00     84     47  474.3  474.3  474.3
   52.0  20451  -67.1  -91.2      2   0.00     90     45  479.6  479.6  479.6
   51.0  20569  -64.3  -90.4      2   0.00    100     32  488.7  488.8  488.7
   50.0  20690  -61.5  -89.5      1   0.00    115     21  498.1  498.1  498.1
   49.0  20816  -60.4  -88.7      1   0.00    165     12  503.6  503.6  503.6
   48.0  20944  -59.3  -88.0      1   0.00    195     15  509.1  509.2  509.1
   46.9  21089  -58.1  -87.1      1   0.00    207     20  515.5  515.5  515.5
   44.0  21485  -59.5  -87.6      1   0.00    240     34  521.6  521.6  521.6
   41.0  21924  -61.0  -88.2      2   0.00    245     20  528.5  528.5  528.5
   38.0  22396  -62.6  -88.8      2   0.00    265     31  535.9  536.0  535.9
   37.5  22478  -62.9  -88.9      2   0.00    267     26  537.2  537.3  537.2
   37.0  22561  -62.7  -88.8      2   0.00    270     21  539.9  539.9  539.9
   35.0  22904  -61.7  -88.3      2   0.00    255     13  551.1  551.1  551.1
   33.5  23174  -60.9  -87.9      2   0.01    253     13  560.1  560.1  560.1
   32.0  23462  -57.1  -86.5      1   0.01    250     12  577.5  577.6  577.5
   31.6  23540  -56.1  -86.1      1   0.01    258     10  582.4  582.5  582.4
   31.0  23662  -56.0  -86.0      1   0.01    270      7  585.8  585.9  585.8
   30.0  23870  -55.9  -85.9      1   0.01    275     11  591.6  591.7  591.7
   29.0  24087  -55.2  -85.5      1   0.01    290     19  599.4  599.4  599.4
   28.0  24311  -54.5  -85.1      1   0.01    260     14  607.4  607.5  607.4
   27.0  24543  -53.7  -84.7      1   0.01    295     15  615.9  616.0  615.9
   24.0  25295  -55.7  -85.2      1   0.01    300      5  631.1  631.2  631.1
   23.2  25511  -56.3  -85.3      1   0.01    284     12  635.6  635.7  635.6
   22.0  25851  -55.1  -84.9      1   0.01    260     24  648.7  648.8  648.7
   20.0  26460  -53.1  -84.1      1   0.02    260     22  672.9  673.1  672.9
   18.0  27147  -49.7  -82.5      1   0.02    290     11  704.1  704.4  704.1
   17.0  27520  -47.9  -81.6      1   0.03     25     13  721.6  721.9  721.6
   16.7  27636  -47.3  -81.3      1   0.03     29     18  727.1  727.5  727.1
   16.0  27916  -48.5  -81.8      1   0.03     40     30  732.3  732.7  732.4
   15.0  28339  -50.2  -82.7      1   0.03     40     20  740.2  740.5  740.2
   14.5  28561  -51.1  -83.1      1   0.03     55     25  744.3  744.7  744.4
   14.0  28789  -50.8  -83.6      1   0.03     60     29  753.0  753.3  753.0
   13.9  28836  -50.7  -83.7      1   0.03     61     27  754.7  755.0  754.8
   13.2  29176  -44.5  -80.5      1   0.05     72     13  787.3  787.9  787.3
   13.0  29279  -44.0  -80.3      1   0.05     75      9  792.6  793.1  792.6
   12.0  29820  -41.2  -79.5      1   0.06    120     10  820.5  821.3  820.6
   11.6  30049  -40.1  -79.1      1   0.07    136     12  832.6  833.5  832.7
   11.0  30407  -41.8  -79.6      1   0.06    160     14  839.3  840.1  839.3
   10.1  30983  -44.5  -80.5      1   0.06    151     12  849.9  850.7  849.9
   10.0  31050  -44.5  -80.5      1   0.06    150     12  852.3  853.1  852.4
    9.0  31766  -41.4  -79.2      1   0.09    220      6  890.4  891.5  890.4
    8.0  32566  -37.9  -77.7      1   0.12    170     23  934.8  936.4  934.8
    7.9  32652  -37.5  -77.5      1   0.13    170     22  939.6  941.4  939.7
    7.0  33481  -40.3  -79.3      1   0.11    175     16  961.1  962.6  961.1
    6.2  34315  -36.7  -77.7      1   0.16    155     11 1010.4 1012.7 1010.5
    6.0  34539  -37.4  -77.9      1   0.15    150     10 1016.7 1019.0 1016.8
    5.0  35786  -41.6  -79.2      1   0.15     75     24 1052.3 1054.6 1052.4
    4.8  36065  -42.5  -79.5      1   0.15               1060.4 1062.8 1060.5
    4.5  36501  -42.5  -80.5      1   0.14               1080.1 1082.3 1080.2
