# 48698 WSSS Singapore Observations at 12Z 05 Feb 2020
Frequency [GHz],TB
175.31,277.071097683
175.322,277.054148205
175.337,277.03291878
175.352,277.011641908
175.367,276.99031744
175.382,276.968945226
175.397,276.947525115
175.412,276.926056953
175.427,276.904540588
175.442,276.882975862
175.457,276.86136262
175.472,276.839700703
175.487,276.817989953
175.502,276.796230209
175.517,276.774421307
175.532,276.752563086
175.547,276.730655379
175.562,276.708698021
175.577,276.686690845
175.592,276.664633679
175.607,276.642526356
175.622,276.620368701
175.637,276.598160543
175.652,276.575901706
175.667,276.553592013
175.682,276.531231287
175.697,276.508819347
175.712,276.486356013
175.727,276.463841102
175.742,276.44127443
175.757,276.418655811
175.772,276.395985057
175.787,276.373261981
175.802,276.350486389
175.817,276.327658093
175.832,276.304776896
175.847,276.281842602
175.862,276.258855014
175.877,276.235813934
175.892,276.212719161
175.907,276.189570492
175.922,276.166367722
175.937,276.143110645
175.952,276.119799054
175.967,276.09643274
175.982,276.073011488
175.997,276.049535086
176.012,276.026003321
176.027,276.002415973
176.042,275.978772825
176.057,275.955073653
176.072,275.931318235
176.087,275.907506347
176.102,275.883637762
176.117,275.85971225
176.132,275.83572958
176.147,275.811689518
176.162,275.78759183
176.177,275.76343628
176.192,275.739222626
176.207,275.714950628
176.222,275.690620042
176.237,275.666230621
176.252,275.641782117
176.267,275.617274283
176.282,275.59270686
176.297,275.5680796
176.31,275.54668737
176.312,275.543392241
176.327,275.518644524
176.342,275.493836189
176.357,275.468966971
176.372,275.444036604
176.387,275.419044818
176.402,275.393991341
176.417,275.368875901
176.432,275.343698219
176.447,275.318458019
176.46,275.296532389
176.462,275.293155016
176.477,275.267788929
176.492,275.242359469
176.507,275.216866348
176.522,275.191309274
176.537,275.165687951
176.552,275.140002082
176.567,275.114251368
176.582,275.088435506
176.597,275.062554188
176.612,275.036607107
176.627,275.010593953
176.642,274.984514409
176.657,274.958368159
176.672,274.932154882
176.687,274.905874255
176.702,274.879525953
176.717,274.853109644
176.732,274.826624998
176.747,274.800071679
176.762,274.773449348
176.777,274.746757662
176.792,274.719996277
176.807,274.693164844
176.822,274.666263011
176.837,274.639290424
176.852,274.612246724
176.867,274.585131548
176.882,274.557944533
176.897,274.530685308
176.912,274.5033535
176.927,274.475948736
176.942,274.448470635
176.957,274.420918812
176.972,274.393292883
176.987,274.365592454
177.002,274.337817133
177.017,274.309966522
177.032,274.282040216
177.047,274.254037813
177.062,274.225958899
177.077,274.197803061
177.092,274.169569882
177.107,274.141258939
177.122,274.112869805
177.137,274.084402051
177.152,274.055855242
177.167,274.027228935
177.182,273.998522692
177.197,273.969736062
177.21,273.944722275
177.212,273.940868593
177.227,273.911919828
177.242,273.882889306
177.257,273.853776561
177.272,273.824581123
177.287,273.795302515
177.302,273.765940256
177.31,273.750246015
177.317,273.736493864
177.332,273.706962847
177.347,273.67734671
177.362,273.647644953
177.377,273.617857072
177.392,273.587982557
177.407,273.558020891
177.422,273.527971555
177.437,273.497834022
177.452,273.467607761
177.467,273.437292236
177.482,273.406886903
177.497,273.376391215
177.512,273.345804618
177.527,273.315126554
177.542,273.284356456
177.557,273.253493755
177.572,273.222537872
177.587,273.191488226
177.602,273.160344226
177.617,273.129105278
177.632,273.09777078
177.647,273.066340125
177.66,273.039021968
177.662,273.034812697
177.677,273.003187879
177.692,272.971465039
177.707,272.939643546
177.722,272.907722757
177.737,272.87570203
177.752,272.843580705
177.767,272.811358121
177.782,272.779033613
177.797,272.746606504
177.812,272.714076109
177.827,272.68144174
177.842,272.6487027
177.857,272.615858281
177.872,272.582907772
177.887,272.549850453
177.902,272.516685594
177.917,272.48341246
177.932,272.450030307
177.947,272.41653838
177.96,272.387422663
177.962,272.382935921
177.977,272.349222159
177.992,272.315396317
178.007,272.281457609
178.022,272.247405242
178.037,272.21323841
178.052,272.178956302
178.067,272.144558094
178.082,272.110042958
178.097,272.075410054
178.112,272.040658532
178.127,272.005787533
178.142,271.970796189
178.157,271.935683622
178.172,271.900448944
178.187,271.865091257
178.202,271.829609652
178.217,271.794003212
178.232,271.758271008
178.247,271.7224121
178.262,271.686425539
178.277,271.650310364
178.292,271.614065602
178.307,271.577690272
178.322,271.541183379
178.337,271.504543918
178.352,271.467770871
178.367,271.43086321
178.382,271.393819894
178.397,271.356639872
178.41,271.324305782
178.412,271.319322078
178.427,271.281865434
178.442,271.244268852
178.457,271.20653123
178.472,271.168651452
178.487,271.13062839
178.502,271.092460904
178.517,271.054147838
178.532,271.015688025
178.547,270.977080283
178.562,270.938323416
178.577,270.899416215
178.592,270.860357457
178.607,270.8211459
178.622,270.781780296
178.637,270.742259374
178.652,270.702581852
178.667,270.662746432
178.682,270.6227518
178.697,270.582596627
178.712,270.542279569
178.727,270.501799265
178.742,270.461154336
178.757,270.42034339
178.772,270.379365016
178.787,270.338217787
178.802,270.296900257
178.817,270.255410966
178.832,270.213748433
178.847,270.171911162
178.862,270.129897636
178.877,270.087706322
178.892,270.045335668
178.907,270.002784102
178.922,269.960050035
178.937,269.917131856
178.952,269.874027936
178.967,269.830736626
178.982,269.787256258
178.997,269.743585141
179.012,269.699721566
179.027,269.655663801
179.042,269.611410093
179.057,269.56695867
179.072,269.522307735
179.087,269.477455472
179.102,269.432400038
179.117,269.387139573
179.132,269.34167219
179.147,269.295995981
179.16,269.256239523
179.162,269.250109013
179.177,269.204009329
179.192,269.15769495
179.207,269.111163868
179.222,269.064414056
179.237,269.017443457
179.252,268.970249991
179.267,268.922831551
179.282,268.875186005
179.297,268.827311194
179.312,268.77920493
179.327,268.730865002
179.342,268.682289166
179.357,268.633475156
179.372,268.584420673
179.387,268.535123392
179.402,268.485580956
179.417,268.435790983
179.432,268.385751057
179.447,268.335458734
179.462,268.284911539
179.477,268.234106965
179.492,268.183042474
179.507,268.131715498
179.522,268.080123435
179.537,268.028263649
179.552,267.976133475
179.567,267.92373021
179.582,267.871051121
179.597,267.818093436
179.612,267.764854356
179.627,267.711331037
179.642,267.657520607
179.657,267.603420154
179.672,267.549026731
179.687,267.494337354
179.702,267.439348999
179.717,267.384058609
179.732,267.328463084
179.747,267.272559287
179.762,267.216344042
179.777,267.159814132
179.792,267.102966301
179.807,267.045797252
179.822,266.988303646
179.837,266.930482102
179.852,266.872329198
179.867,266.813841468
179.882,266.755015404
179.897,266.695847453
179.91,266.644289236
179.912,266.63633402
179.927,266.576471461
179.942,266.51625609
179.957,266.455684175
179.972,266.394751938
179.987,266.333455552
180.002,266.271791144
180.017,266.209754794
180.032,266.147342533
180.047,266.084550343
180.062,266.021374156
180.077,265.957809857
180.092,265.893853274
180.107,265.829500192
180.122,265.76474634
180.137,265.699587397
180.152,265.634018987
180.167,265.568036683
180.182,265.501636006
180.197,265.434812419
180.212,265.367561335
180.227,265.299878108
180.242,265.23175804
180.257,265.163196375
180.272,265.094188301
180.287,265.024728949
180.302,264.954813394
180.317,264.884436653
180.332,264.813593682
180.347,264.742279383
180.362,264.670488595
180.377,264.598216099
180.392,264.525456617
180.407,264.452204809
180.422,264.378455276
180.437,264.304202557
180.452,264.22944113
180.467,264.154165411
180.482,264.078369755
180.497,264.002048452
180.512,263.925195734
180.527,263.847805766
180.542,263.769872651
180.557,263.691390429
180.56,263.675627563
180.572,263.612353078
180.587,263.53275451
180.602,263.452588573
180.617,263.371849054
180.632,263.290529673
180.647,263.208624086
180.66,263.137160119
180.662,263.126125887
180.677,263.043028604
180.692,262.9593257
180.707,262.875010576
180.722,262.790076568
180.737,262.704516947
180.752,262.618324923
180.767,262.531493639
180.782,262.444016178
180.797,262.355885556
